EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_AGE	FR_ÂGE	TOTAL
2015	Q1	Jan	2015	T1	janv.	Quebec	Québec	0 to 14 years old	0 à 14 ans	370
2015	Q1	Jan	2015	T1	janv.	Quebec	Québec	15 to 29 years old	15 à 29 ans	635
2015	Q1	Jan	2015	T1	janv.	Quebec	Québec	30 to 44 years old	30 à 44 ans	820
2015	Q1	Jan	2015	T1	janv.	Quebec	Québec	45 to 59 years old	45 à 59 ans	205
2015	Q1	Jan	2015	T1	janv.	Quebec	Québec	60 to 74 years old	60 à 74 ans	55
2015	Q1	Jan	2015	T1	janv.	Quebec	Québec	75 years old or more	75 ans et plus	5
2015	Q1	Jan	2015	T1	janv.	Saskatchewan	Saskatchewan	0 to 14 years old	0 à 14 ans	145
2015	Q1	Jan	2015	T1	janv.	Saskatchewan	Saskatchewan	15 to 29 years old	15 à 29 ans	180
2015	Q1	Jan	2015	T1	janv.	Saskatchewan	Saskatchewan	30 to 44 years old	30 à 44 ans	215
2015	Q1	Jan	2015	T1	janv.	Saskatchewan	Saskatchewan	45 to 59 years old	45 à 59 ans	50
2015	Q1	Jan	2015	T1	janv.	Saskatchewan	Saskatchewan	60 to 74 years old	60 à 74 ans	15
2015	Q1	Jan	2015	T1	janv.	Saskatchewan	Saskatchewan	75 years old or more	75 ans et plus	--
2015	Q1	Jan	2015	T1	janv.	Yukon	Yukon	0 to 14 years old	0 à 14 ans	--
2015	Q1	Jan	2015	T1	janv.	Yukon	Yukon	15 to 29 years old	15 à 29 ans	5
2015	Q1	Jan	2015	T1	janv.	Yukon	Yukon	30 to 44 years old	30 à 44 ans	5
2015	Q1	Jan	2015	T1	janv.	Yukon	Yukon	45 to 59 years old	45 à 59 ans	--
2015	Q1	Mar	2015	T1	mars	Alberta	Alberta	0 to 14 years old	0 à 14 ans	665
2015	Q1	Mar	2015	T1	mars	Alberta	Alberta	15 to 29 years old	15 à 29 ans	1175
2015	Q1	Mar	2015	T1	mars	Alberta	Alberta	30 to 44 years old	30 à 44 ans	1430
2015	Q1	Mar	2015	T1	mars	Alberta	Alberta	45 to 59 years old	45 à 59 ans	290
2015	Q1	Mar	2015	T1	mars	Alberta	Alberta	60 to 74 years old	60 à 74 ans	90
2015	Q1	Mar	2015	T1	mars	Alberta	Alberta	75 years old or more	75 ans et plus	10
2015	Q1	Mar	2015	T1	mars	British Columbia	Colombie-Britannique	0 to 14 years old	0 à 14 ans	345
2015	Q1	Mar	2015	T1	mars	British Columbia	Colombie-Britannique	15 to 29 years old	15 à 29 ans	905
2015	Q1	Mar	2015	T1	mars	British Columbia	Colombie-Britannique	30 to 44 years old	30 à 44 ans	1060
2015	Q1	Mar	2015	T1	mars	British Columbia	Colombie-Britannique	45 to 59 years old	45 à 59 ans	320
2015	Q1	Mar	2015	T1	mars	British Columbia	Colombie-Britannique	60 to 74 years old	60 à 74 ans	120
2015	Q1	Mar	2015	T1	mars	British Columbia	Colombie-Britannique	75 years old or more	75 ans et plus	25
2015	Q1	Mar	2015	T1	mars	Manitoba	Manitoba	0 to 14 years old	0 à 14 ans	335
2015	Q1	Mar	2015	T1	mars	Manitoba	Manitoba	15 to 29 years old	15 à 29 ans	465
2015	Q1	Mar	2015	T1	mars	Manitoba	Manitoba	30 to 44 years old	30 à 44 ans	500
2015	Q1	Mar	2015	T1	mars	Manitoba	Manitoba	45 to 59 years old	45 à 59 ans	115
2015	Q1	Mar	2015	T1	mars	Manitoba	Manitoba	60 to 74 years old	60 à 74 ans	20
2015	Q1	Mar	2015	T1	mars	Manitoba	Manitoba	75 years old or more	75 ans et plus	5
2015	Q1	Mar	2015	T1	mars	New Brunswick	Nouveau-Brunswick	0 to 14 years old	0 à 14 ans	70
2015	Q1	Mar	2015	T1	mars	New Brunswick	Nouveau-Brunswick	15 to 29 years old	15 à 29 ans	70
2015	Q1	Mar	2015	T1	mars	New Brunswick	Nouveau-Brunswick	30 to 44 years old	30 à 44 ans	105
2015	Q1	Mar	2015	T1	mars	New Brunswick	Nouveau-Brunswick	45 to 59 years old	45 à 59 ans	25
2015	Q1	Mar	2015	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	0 to 14 years old	0 à 14 ans	20
2015	Q1	Mar	2015	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	15 to 29 years old	15 à 29 ans	25
2015	Q1	Mar	2015	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	30 to 44 years old	30 à 44 ans	15
2015	Q1	Mar	2015	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	45 to 59 years old	45 à 59 ans	15
2015	Q1	Mar	2015	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	60 to 74 years old	60 à 74 ans	--
2015	Q1	Mar	2015	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	75 years old or more	75 ans et plus	--
2015	Q1	Mar	2015	T1	mars	Northwest Territories	Territoires du Nord-Ouest	15 to 29 years old	15 à 29 ans	--
2015	Q1	Mar	2015	T1	mars	Northwest Territories	Territoires du Nord-Ouest	30 to 44 years old	30 à 44 ans	10
2015	Q1	Mar	2015	T1	mars	Northwest Territories	Territoires du Nord-Ouest	45 to 59 years old	45 à 59 ans	5
2015	Q1	Mar	2015	T1	mars	Nova Scotia	Nouvelle-Écosse	0 to 14 years old	0 à 14 ans	70
2015	Q1	Mar	2015	T1	mars	Nova Scotia	Nouvelle-Écosse	15 to 29 years old	15 à 29 ans	60
2015	Q1	Mar	2015	T1	mars	Nova Scotia	Nouvelle-Écosse	30 to 44 years old	30 à 44 ans	125
2015	Q1	Mar	2015	T1	mars	Nova Scotia	Nouvelle-Écosse	45 to 59 years old	45 à 59 ans	25
2015	Q1	Mar	2015	T1	mars	Nova Scotia	Nouvelle-Écosse	60 to 74 years old	60 à 74 ans	5
2015	Q1	Mar	2015	T1	mars	Nunavut	Nunavut	0 to 14 years old	0 à 14 ans	--
2015	Q1	Mar	2015	T1	mars	Nunavut	Nunavut	15 to 29 years old	15 à 29 ans	--
2015	Q1	Mar	2015	T1	mars	Nunavut	Nunavut	30 to 44 years old	30 à 44 ans	--
2015	Q1	Mar	2015	T1	mars	Nunavut	Nunavut	45 to 59 years old	45 à 59 ans	--
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	0 to 14 years old	0 à 14 ans	1395
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	15 to 29 years old	15 à 29 ans	2255
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	30 to 44 years old	30 à 44 ans	2905
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	45 to 59 years old	45 à 59 ans	880
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	60 to 74 years old	60 à 74 ans	340
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	75 years old or more	75 ans et plus	80
2015	Q1	Mar	2015	T1	mars	Prince Edward Island	Île-du-Prince-Édouard	0 to 14 years old	0 à 14 ans	25
2015	Q1	Mar	2015	T1	mars	Prince Edward Island	Île-du-Prince-Édouard	15 to 29 years old	15 à 29 ans	20
2015	Q1	Mar	2015	T1	mars	Prince Edward Island	Île-du-Prince-Édouard	30 to 44 years old	30 à 44 ans	35
2015	Q1	Mar	2015	T1	mars	Prince Edward Island	Île-du-Prince-Édouard	45 to 59 years old	45 à 59 ans	5
2015	Q1	Mar	2015	T1	mars	Quebec	Québec	0 to 14 years old	0 à 14 ans	860
2015	Q1	Mar	2015	T1	mars	Quebec	Québec	15 to 29 years old	15 à 29 ans	1140
2015	Q1	Mar	2015	T1	mars	Quebec	Québec	30 to 44 years old	30 à 44 ans	1670
2015	Q1	Mar	2015	T1	mars	Quebec	Québec	45 to 59 years old	45 à 59 ans	390
2015	Q1	Mar	2015	T1	mars	Quebec	Québec	60 to 74 years old	60 à 74 ans	120
2015	Q1	Mar	2015	T1	mars	Quebec	Québec	75 years old or more	75 ans et plus	25
2015	Q1	Mar	2015	T1	mars	Saskatchewan	Saskatchewan	0 to 14 years old	0 à 14 ans	205
2015	Q1	Mar	2015	T1	mars	Saskatchewan	Saskatchewan	15 to 29 years old	15 à 29 ans	440
2015	Q1	Mar	2015	T1	mars	Saskatchewan	Saskatchewan	30 to 44 years old	30 à 44 ans	350
2015	Q1	Mar	2015	T1	mars	Saskatchewan	Saskatchewan	45 to 59 years old	45 à 59 ans	70
2015	Q1	Mar	2015	T1	mars	Saskatchewan	Saskatchewan	60 to 74 years old	60 à 74 ans	10
2015	Q1	Mar	2015	T1	mars	Saskatchewan	Saskatchewan	75 years old or more	75 ans et plus	--
2015	Q1	Mar	2015	T1	mars	Yukon	Yukon	0 to 14 years old	0 à 14 ans	--
2015	Q1	Mar	2015	T1	mars	Yukon	Yukon	15 to 29 years old	15 à 29 ans	--
2015	Q1	Mar	2015	T1	mars	Yukon	Yukon	30 to 44 years old	30 à 44 ans	10
2015	Q1	Mar	2015	T1	mars	Yukon	Yukon	45 to 59 years old	45 à 59 ans	--
2015	Q2	Apr	2015	T2	avr.	Alberta	Alberta	0 to 14 years old	0 à 14 ans	750
2015	Q2	Apr	2015	T2	avr.	Alberta	Alberta	15 to 29 years old	15 à 29 ans	1175
2015	Q2	Apr	2015	T2	avr.	Alberta	Alberta	30 to 44 years old	30 à 44 ans	1480
2015	Q2	Apr	2015	T2	avr.	Alberta	Alberta	45 to 59 years old	45 à 59 ans	280
2015	Q2	Apr	2015	T2	avr.	Alberta	Alberta	60 to 74 years old	60 à 74 ans	80
2015	Q2	Apr	2015	T2	avr.	Alberta	Alberta	75 years old or more	75 ans et plus	15
